run1,run2,jaccard_edge_similarity
20241209_000851_corn stover_to_ethanol_(1),20241209_003719_corn stover_to_ethanol_(14),0.2608695652173913
20241209_000851_corn stover_to_ethanol_(1),20241209_003719_corn stover_to_ethanol_(15),0.2727272727272727
20241209_000851_corn stover_to_ethanol_(1),20241209_003719_corn stover_to_ethanol_(16),0.23809523809523808
20241209_000851_corn stover_to_ethanol_(1),20241209_003719_corn stover_to_ethanol_(17),0.24
20241209_000851_corn stover_to_ethanol_(1),20241209_003719_corn stover_to_ethanol_(18),0.20833333333333334
20241209_000851_corn stover_to_ethanol_(1),20241209_003719_corn stover_to_ethanol_(19),0.23076923076923078
20241209_000851_corn stover_to_ethanol_(1),20241209_003719_corn stover_to_ethanol_(2),0.21739130434782608
20241209_000851_corn stover_to_ethanol_(1),20241209_003719_corn stover_to_ethanol_(20),0.21739130434782608
20241209_000851_corn stover_to_ethanol_(1),20241209_003719_corn stover_to_ethanol_(3),0.16
20241209_000851_corn stover_to_ethanol_(1),20241209_003719_corn stover_to_ethanol_(4),0.35
20241209_000851_corn stover_to_ethanol_(1),20241209_003719_corn stover_to_ethanol_(5),0.2727272727272727
20241209_000851_corn stover_to_ethanol_(1),20241209_003719_corn stover_to_ethanol_(6),0.3684210526315789
20241209_000851_corn stover_to_ethanol_(1),20241209_003719_corn stover_to_ethanol_(7),0.21739130434782608
20241209_000851_corn stover_to_ethanol_(1),20241209_003719_corn stover_to_ethanol_(8),0.35
20241209_000851_corn stover_to_ethanol_(1),20241209_003719_corn stover_to_ethanol_(9),0.23809523809523808
20241209_000851_corn stover_to_ethanol_(1),20241209_004018_corn stover_to_ethanol_(1),0.21739130434782608
20241209_000851_corn stover_to_ethanol_(1),20241209_004018_corn stover_to_ethanol_(10),0.23809523809523808
20241209_000851_corn stover_to_ethanol_(1),20241209_004018_corn stover_to_ethanol_(11),0.24
20241209_000851_corn stover_to_ethanol_(1),20241209_004018_corn stover_to_ethanol_(12),0.25
20241209_000851_corn stover_to_ethanol_(1),20241209_004018_corn stover_to_ethanol_(13),0.2727272727272727
20241209_000851_corn stover_to_ethanol_(1),20241209_004018_corn stover_to_ethanol_(14),0.3
20241209_000851_corn stover_to_ethanol_(1),20241209_004018_corn stover_to_ethanol_(15),0.15384615384615385
20241209_000851_corn stover_to_ethanol_(1),20241209_004018_corn stover_to_ethanol_(16),0.2727272727272727
20241209_000851_corn stover_to_ethanol_(1),20241209_004018_corn stover_to_ethanol_(17),0.2
20241209_000851_corn stover_to_ethanol_(1),20241209_004018_corn stover_to_ethanol_(18),0.38095238095238093
20241209_000851_corn stover_to_ethanol_(1),20241209_004018_corn stover_to_ethanol_(19),0.2727272727272727
20241209_000851_corn stover_to_ethanol_(1),20241209_004018_corn stover_to_ethanol_(2),0.22727272727272727
20241209_000851_corn stover_to_ethanol_(1),20241209_004018_corn stover_to_ethanol_(20),0.21739130434782608
20241209_000851_corn stover_to_ethanol_(1),20241209_004018_corn stover_to_ethanol_(3),0.2727272727272727
20241209_000851_corn stover_to_ethanol_(1),20241209_004018_corn stover_to_ethanol_(4),0.3333333333333333
20241209_000851_corn stover_to_ethanol_(1),20241209_004018_corn stover_to_ethanol_(5),0.24
20241209_000851_corn stover_to_ethanol_(1),20241209_004018_corn stover_to_ethanol_(6),0.2
20241209_000851_corn stover_to_ethanol_(1),20241209_004018_corn stover_to_ethanol_(7),0.3
20241209_000851_corn stover_to_ethanol_(1),20241209_004018_corn stover_to_ethanol_(8),0.2857142857142857
20241209_000851_corn stover_to_ethanol_(1),20241209_004018_corn stover_to_ethanol_(9),0.42105263157894735
20241209_000851_corn stover_to_ethanol_(10),20241209_000851_corn stover_to_ethanol_(2),0.18518518518518517
20241209_000851_corn stover_to_ethanol_(10),20241209_000851_corn stover_to_ethanol_(3),0.17857142857142858
20241209_000851_corn stover_to_ethanol_(10),20241209_000851_corn stover_to_ethanol_(4),0.2
20241209_000851_corn stover_to_ethanol_(10),20241209_000851_corn stover_to_ethanol_(5),0.25
20241209_000851_corn stover_to_ethanol_(10),20241209_000851_corn stover_to_ethanol_(6),0.25
20241209_000851_corn stover_to_ethanol_(10),20241209_000851_corn stover_to_ethanol_(7),0.24
20241209_000851_corn stover_to_ethanol_(10),20241209_000851_corn stover_to_ethanol_(8),0.20833333333333334
20241209_000851_corn stover_to_ethanol_(10),20241209_000851_corn stover_to_ethanol_(9),0.2727272727272727
20241209_000851_corn stover_to_ethanol_(10),20241209_001652_corn stover_to_ethanol_(1),0.2692307692307692
20241209_000851_corn stover_to_ethanol_(10),20241209_001652_corn stover_to_ethanol_(10),0.28
20241209_000851_corn stover_to_ethanol_(10),20241209_001652_corn stover_to_ethanol_(11),0.25
20241209_000851_corn stover_to_ethanol_(10),20241209_001652_corn stover_to_ethanol_(12),0.30434782608695654
20241209_000851_corn stover_to_ethanol_(10),20241209_001652_corn stover_to_ethanol_(13),0.24
20241209_000851_corn stover_to_ethanol_(10),20241209_001652_corn stover_to_ethanol_(14),0.38095238095238093
20241209_000851_corn stover_to_ethanol_(10),20241209_001652_corn stover_to_ethanol_(15),0.25
20241209_000851_corn stover_to_ethanol_(10),20241209_001652_corn stover_to_ethanol_(16),0.2727272727272727
20241209_000851_corn stover_to_ethanol_(10),20241209_001652_corn stover_to_ethanol_(17),0.25
20241209_000851_corn stover_to_ethanol_(10),20241209_001652_corn stover_to_ethanol_(18),0.2608695652173913
20241209_000851_corn stover_to_ethanol_(10),20241209_001652_corn stover_to_ethanol_(19),0.14814814814814814
20241209_000851_corn stover_to_ethanol_(10),20241209_001652_corn stover_to_ethanol_(2),0.24
20241209_000851_corn stover_to_ethanol_(10),20241209_001652_corn stover_to_ethanol_(20),0.2
20241209_000851_corn stover_to_ethanol_(10),20241209_001652_corn stover_to_ethanol_(3),0.3333333333333333
20241209_000851_corn stover_to_ethanol_(10),20241209_001652_corn stover_to_ethanol_(4),0.4090909090909091
20241209_000851_corn stover_to_ethanol_(10),20241209_001652_corn stover_to_ethanol_(5),0.2727272727272727
20241209_000851_corn stover_to_ethanol_(10),20241209_001652_corn stover_to_ethanol_(6),0.3181818181818182
20241209_000851_corn stover_to_ethanol_(10),20241209_001652_corn stover_to_ethanol_(7),0.2
20241209_000851_corn stover_to_ethanol_(10),20241209_001652_corn stover_to_ethanol_(8),0.2222222222222222
20241209_000851_corn stover_to_ethanol_(10),20241209_001652_corn stover_to_ethanol_(9),0.24
20241209_000851_corn stover_to_ethanol_(10),20241209_003530_corn stover_to_ethanol_(1),0.18518518518518517
20241209_000851_corn stover_to_ethanol_(10),20241209_003530_corn stover_to_ethanol_(10),0.28
20241209_000851_corn stover_to_ethanol_(10),20241209_003530_corn stover_to_ethanol_(11),0.25
20241209_000851_corn stover_to_ethanol_(10),20241209_003530_corn stover_to_ethanol_(12),0.23076923076923078
20241209_000851_corn stover_to_ethanol_(10),20241209_003530_corn stover_to_ethanol_(13),0.30434782608695654
20241209_000851_corn stover_to_ethanol_(10),20241209_003530_corn stover_to_ethanol_(14),0.25
20241209_000851_corn stover_to_ethanol_(10),20241209_003530_corn stover_to_ethanol_(15),0.2916666666666667
20241209_000851_corn stover_to_ethanol_(10),20241209_003530_corn stover_to_ethanol_(16),0.2608695652173913
20241209_000851_corn stover_to_ethanol_(10),20241209_003530_corn stover_to_ethanol_(17),0.2916666666666667
